OID_,INSPECTION,DEVELOPMEN,DEVELOPM_1,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAM,COUNTY_COD,STATE_NAME,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,LOCATION_Q,PHA_CODE,PHA_NAME,INSPECTI_1,INSPECTI_2,NEAR_FID,NEAR_DIST
1318,659810,DC001005210,KENTUCKY COURTS,245 14th St SE Unit A,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,District Of Columbia,1,DC,11,20003,38.886088000000001,-76.985712000000007,R,DC001,D.C  Housing Authority,75,11/25/2019 0:00:00,416330,0.009663562694230
1319,659809,CO036000001,LITTLETON,6029 S Sycamore St,Littleton,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",19740,Arapahoe,5,CO,8,80120,39.607298000000000,-105.015298000000001,R,CO036,Littleton Housing Authority,65,11/18/2019 0:00:00,691433,0.003512860987600
1320,659808,FL001000010,TWIN TOWERS,617 W 44th St,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",27260,Duval,31,FL,12,32208,30.372520000000002,-81.661468999999997,R,FL001,Jacksonville Housing Authority,99,10/3/2019 0:00:00,766965,0.008908583295240
1321,659807,CT004000016,Quinnipiac Terrace Phase I,1 Del Rio Dr,New Haven,"New Haven-Milford, CT Metropolitan Statistical Area",35300,New Haven,9,CT,9,6513,41.318404999999998,-72.887697000000003,R,CT004,Housing Authority of the City of New Haven,84,1/10/2020 0:00:00,668883,0.000000000000000
1322,659806,CA026000001,WESTLEY AREA,524 Merced St,Newman,"Modesto, CA Metropolitan Statistical Area",33700,Stanislaus,99,CA,6,95360,37.314936000000003,-121.014820999999998,R,CA026,Housing Authority of the County of Stanislaus,92,1/6/2020 0:00:00,622684,0.025218477266600
1323,659805,DC001001600,CLARIDGE TOWERS,1221 M St NW,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,District Of Columbia,1,DC,11,20005,38.905814999999997,-77.028647000000007,R,DC001,D.C  Housing Authority,63,11/13/2019 0:00:00,416325,0.010377371474500
1324,659804,CO037000001,SAN LUIS,915 Pedro St,San Luis, ,99999,Costilla,23,CO,8,81152,37.205224999999999,-105.421374000000000,R,CO037,Costilla County Housing Authority,73,10/7/2019 0:00:00,345843,0.492221452612000
1325,659803,DC001001460,EDGEWOOD TERRACE SENIORS DEVELOPMENT,635 Edgewood St NE,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,District Of Columbia,1,DC,11,20017,38.924317000000002,-76.997406999999995,R,DC001,D.C  Housing Authority,92,11/14/2019 0:00:00,416330,0.033682553734500
1326,659802,CA026000004,MODESTO SCATTERED SITES,150 Kingston Ln Apt 1,Modesto,"Modesto, CA Metropolitan Statistical Area",33700,Stanislaus,99,CA,6,95354,37.639650000000003,-120.949751000000006,R,CA026,Housing Authority of the County of Stanislaus,81,12/10/2019 0:00:00,622683,0.008350192408760
1327,659801,CT026000002,WESTHILL GARDENS ANNEX,12A Bluefield Dr,Manchester,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",25540,Hartford,3,CT,9,6040,41.768695000000001,-72.550669999999997,4,CT026,Manchester Housing Authority,77,1/7/2020 0:00:00,418544,0.003248016111060
1328,659800,CA035000004,BUENA VIDA ET AL,7995 Telephone Rd,Ventura,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",37100,Ventura,111,CA,6,93004,34.269483999999999,-119.185648999999998,R,CA035,Housing Authority of the City of San Buenaventura,74,11/14/2019 0:00:00,576657,0.012091076451600
1329,659799,DC001002130,LINCOLN HEIGHTS,314 50th St NE Apt 23,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,District Of Columbia,1,DC,11,20019,38.893976000000002,-76.929354000000004,R,DC001,D.C  Housing Authority,35,12/2/2019 0:00:00,416330,0.003729037907910
1330,659798,AR141000001,EHEMANN/TOWNHILL,301 Avenue 5 NW,Atkins,"Russellville, AR Micropolitan Statistical Area",40780,Pope,115,AR,5,72823,35.243665999999997,-92.943169999999995,R,AR141,Housing Authority of the City of Atkins,72,12/4/2019 0:00:00,175518,0.146922704662000
1331,659797,CA023000003,SCATTERED SITES,736 Abby Cir,Los Banos,"Merced, CA Metropolitan Statistical Area",32900,Merced,47,CA,6,93635,37.067211999999998,-120.840705999999997,R,CA023,County of Merced Housing Authority,78,10/31/2019 0:00:00,622684,0.298349414318000
1332,659796,CA001000990,NORTH BEACH,455 Bay St,San Francisco,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",41860,San Francisco,75,CA,6,94133,37.805377999999997,-122.414202000000003,R,CA001,Housing Authority of the City & County of SF,90,1/13/2020 0:00:00,608223,0.003613196007430
1333,659794,AR104000001,PHILLIPS PLAZA,2 Applegate Dr,Springdale,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",22220,Washington,143,AR,5,72764,36.177804999999999,-94.125191999999998,R,AR104,Springdale Housing Authority,79,12/9/2019 0:00:00,257904,0.002306954310020
1334,659793,CA023000002,SCATTERED SITES,2023 Alameda Ct,Livingston,"Merced, CA Metropolitan Statistical Area",32900,Merced,47,CA,6,95334,37.382050999999997,-120.715215000000001,R,CA023,County of Merced Housing Authority,87,10/30/2019 0:00:00,609989,0.157920302452000
1335,659792,CA023000001,Gateway Homes,2860 Park Ave Apt L,Merced,"Merced, CA Metropolitan Statistical Area",32900,Merced,47,CA,6,95348,37.314470000000000,-120.472673000000000,R,CA023,County of Merced Housing Authority,84,12/16/2019 0:00:00,609993,0.002736436298790
1336,659791,AR111000001,TOLSON HOMES,500 Rice St,Rison,"Pine Bluff, AR Metropolitan Statistical Area",38220,Cleveland,25,AR,5,71665,33.964483999999999,-92.183820999999995,R,AR111,Housing Authority of the City of Rison,99,12/4/2019 0:00:00,1051,0.204864989496000
1337,659790,AR123000001,AUGUSTA HOUSING AUTHORITY,131 Riverdale St,Augusta, ,99999,Woodruff,147,AR,5,72006,35.279620000000001,-91.360961000000003,R,AR123,Housing Authority of the City of Augusta,67,10/31/2019 0:00:00,802,0.117905315227000
1338,659789,CA023000004,SCATTERED SITES,1202 W 1st St,Merced,"Merced, CA Metropolitan Statistical Area",32900,Merced,47,CA,6,95341,37.289225999999999,-120.503376000000003,R,CA023,County of Merced Housing Authority,81,12/16/2019 0:00:00,609993,0.018078108039500
1339,659788,AL160000003,TURNKEY III,608 Judkins Cir,Tuskegee Institute, ,99999,Macon,87,AL,1,36088,32.413026000000002,-85.723584000000002,R,AL160,TUSKEGEE HOUSING AUTHORITY,83,10/22/2019 0:00:00,196,0.003625231139370
1340,659787,AR053000001,MC GEHEE,101 Shady Ln,Mc Gehee, ,99999,Desha,41,AR,5,71654,33.613751000000001,-91.391667999999996,R,AR053,Housing Authority of the City of McGehee,52,1/13/2020 0:00:00,1458,0.000000000000000
1341,659786,AR073000001,SPARKMAN,315A N Kelly Ave,Sparkman, ,99999,Dallas,39,AR,5,71763,33.919190999999998,-92.843861000000004,4,AR073,Housing Authority of the City of Sparkman,75,1/24/2020 0:00:00,1424,0.277029219127000
1342,659785,AR094000001,GLOSTER COURT,1704 Bailey Pl,Malvern,"Malvern, AR Micropolitan Statistical Area",31680,Hot Spring,59,AR,5,72104,34.354764000000003,-92.793008999999998,R,AR094,Housing Authority of the City of Malvern,65,12/19/2019 0:00:00,1336,0.011389164905600
1343,659784,AR005000001,CLEARLAKE/EAST ROSE,712 Clear Lake Ave Apt 32,Blytheville,"Blytheville, AR Micropolitan Statistical Area",14180,Mississippi,93,AR,5,72315,35.919907000000002,-89.893726999999998,R,AR005,Blytheville Housing Authority,50,11/4/2019 0:00:00,1117,0.098958666162200
1344,659783,AR090000001,JUDSONIA,1305 Wade Ave,Judsonia,"Searcy, AR Micropolitan Statistical Area",42620,White,145,AR,5,72081,35.279854000000000,-91.636798999999996,R,AR090,Housing Authority of the City of Judsonia,91,1/14/2020 0:00:00,95011,0.032656590216500
1345,659782,AL146000001,EUTAW,303 Carver Cir,Eutaw,"Tuscaloosa, AL Metropolitan Statistical Area",46220,Greene,63,AL,1,35462,32.834634000000001,-87.879434000000003,R,AL146,Housing Authority of the City of Eutaw,93,11/25/2019 0:00:00,139545,0.164857666214000
1346,659781,AL137014014,FAYETTE HA,628 4th Ave SW,Fayette, ,99999,Fayette,57,AL,1,35555,33.681220000000003,-87.838396000000003,R,AL137,Housing Authority of the City of Fayette,74,12/11/2019 0:00:00,527,0.013092912235900
1347,659779,AR095000001,DECATUR,720G 2nd St,Decatur,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",22220,Benton,7,AR,5,72722,36.329765999999999,-94.460836999999998,4,AR095,Housing Authority of the City of Decatur,75,10/22/2019 0:00:00,463809,0.007107743714710
1348,659778,AL055000001,CORDOVA HA,15 Elliott Heights St Apt 137,Cordova,"Jasper, AL Micropolitan Statistical Area",27530,Walker,127,AL,1,35550,33.762596000000002,-87.187172000000004,R,AL055,HA CORDOVA,96,11/21/2019 0:00:00,64807,0.007391129356350
1349,659777,AL108000101,MCDONALD COURTS,701 Brannon Cir,Ragland,"Birmingham-Hoover, AL Metropolitan Statistical Area",13820,St. Clair,115,AL,1,35131,33.727325999999998,-86.147713999999993,R,AL108,Ragland Housing Authority,91,10/3/2019 0:00:00,360746,0.011374780894400
1350,659776,AL114000002,TALLAPOOSA & RANDOLPH,643 Randolph Ave,Wadley, ,99999,Randolph,111,AL,1,36276,33.121519999999997,-85.571408000000005,R,AL114,LINEVILLE HOUSING AUTHORITY,96,11/7/2019 0:00:00,106493,0.077829250186300
1351,659775,AL114000001,BLAKES FERRY,353 Gay Ave,Lineville, ,99999,Clay,27,AL,1,36266,33.305677000000003,-85.752628999999999,R,AL114,LINEVILLE HOUSING AUTHORITY,77,9/30/2019 0:00:00,106472,0.260214846136000
1352,659774,AL106000001,CRESTVIEW GARDENS,97 31st St N,Pell City,"Birmingham-Hoover, AL Metropolitan Statistical Area",13820,St. Clair,115,AL,1,35125,33.593192000000002,-86.270004999999998,R,AL106,Pell City Housing Authority,93,10/15/2019 0:00:00,360746,0.000757727216914
1353,659773,AL089000001,JOHN SPARKMAN CT,1 John Sparkman Ct,Vincent,"Birmingham-Hoover, AL Metropolitan Statistical Area",13820,Shelby,117,AL,1,35178,33.385869999999997,-86.417507000000001,R,AL089,Vincent Housing Authority,97,11/4/2019 0:00:00,446233,0.001827920858900
1354,659771,AL005000006,BLAKE,2000A 21st Ave,Phenix City,"Columbus, GA-AL Metropolitan Statistical Area",17980,Russell,113,AL,1,36867,32.481101000000002,-85.022506000000007,4,AL005,PHENIX CITY HOUSING AUTHORITY,97,10/8/2019 0:00:00,189011,0.000000000000000
1355,659770,AL011000003,VALLEY HEAD HA,334 Third Ave,Valley Head,"Fort Payne, AL Micropolitan Statistical Area",22840,Dekalb,49,AL,1,35989,34.562198000000002,-85.613635000000002,R,AL011,Housing Authority of the City of Fort Payne,87,10/4/2019 0:00:00,634,0.003445927544170
1356,659769,AL122000001,SADIE LEE HOMES,2 Sadie Lee Homes,Childersburg,"Talladega-Sylacauga, AL Micropolitan Statistical Area",45180,Talladega,121,AL,1,35044,33.278697000000001,-86.365688000000006,R,AL122,Childersburg Housing Authority,82,1/7/2020 0:00:00,241078,0.006363618311970
1357,659768,AL005000001,RIVERVIEW,201A Riverview Apts,Phenix City,"Columbus, GA-AL Metropolitan Statistical Area",17980,Russell,113,AL,1,36867,32.471200000000003,-84.999099999999999,B,AL005,PHENIX CITY HOUSING AUTHORITY,81,10/7/2019 0:00:00,189112,0.000535334328329
1358,659460,VQ001000024,WALTER I.M. HODGE PAVILION,1013 Estate Smithfield,Frederiksted, ,99999,St. Croix,10,VI,78,840,17.709900000000001,-64.884699999999995,B,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,46,10/7/2019 0:00:00,96431,0.001268397024080
1359,659458,VQ001000025,WILLIAMS DELIGHT VILLAS,BLDG 3 WILFORD PEDRO APT 13,St Croix, ,99999,St. Croix,10,VI,78,840,17.723500000000001,-64.831699999999998,T,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,38,11/7/2019 0:00:00,96518,0.013184440522700
1360,659457,VQ001000014,PAUL M PEARSON GARDENS,5700 Paul M Pearson Gdns,St Thomas, ,99999,St. Thomas,30,VI,78,802,18.338200000000001,-64.909800000000004,B,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,48,10/9/2019 0:00:00,96520,0.009785204915050
1361,659456,VQ001000023,LOUIS E. BROWN VILLAS,1 Mount Pleasant,Frederiksted, ,99999,St. Croix,10,VI,78,840,17.723500000000001,-64.831699999999998,B,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,60,11/21/2019 0:00:00,96518,0.013184440522700
1362,659455,VQ001000013,ESTATE BOVONI  APARTMENTS,BLDG  C ESTATE BOVONI APARTMENT APT,St Thomas, ,99999,St. Thomas,30,VI,78,802,18.338799999999999,-64.913300000000007,T,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,51,11/19/2019 0:00:00,96520,0.006498452806810
1363,659454,VQ001000022,JOHN F. KENNEDY TERRACE,3001 Estate JFK,Christiansted, ,99999,St. Croix,10,VI,78,820,17.749700000000001,-64.718699999999998,B,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,33,11/4/2019 0:00:00,96425,0.000219198604962
1364,659453,VQ001000015,MICHAEL J. KIRWAN TERRACE,BLDG 18 MICHAEL J KIRWAN TERRACE APT 91,St Thomas, ,99999,St. Thomas,30,VI,78,802,18.338799999999999,-64.913300000000007,T,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,50,11/18/2019 0:00:00,96520,0.006498452806810
1365,659452,VQ001000021,RALPH deCHABERT Place,1001 Richmond Dhj,Christiansted, ,99999,St. Croix,10,VI,78,820,17.749700000000001,-64.718699999999998,B,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,52,11/6/2019 0:00:00,96425,0.000219198604962
1366,659451,VQ001000026,Louis E. Brown Redevelopment,B 1 Louis E. Brown Redevelopment,Fredriksted, ,99999,St. Croix,10,VI,78,840,17.723500000000001,-64.831699999999998,T,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,87,11/5/2019 0:00:00,96518,0.013184440522700
1367,659450,VQ001000011,OSWALD E. HARRIS COURT,B 10 OSWALD E. HARRIS COURT APT 105,St Thomas, ,99999,St. Thomas,30,VI,78,802,18.338799999999999,-64.913300000000007,T,VQ001,VIRGIN ISLANDS HOUSING AUTHORITY,46,11/14/2019 0:00:00,96520,0.006498452806810
1368,659081,MI105000001,DOWNES MANOR,13725 John R St,Highland Park,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48203,42.405822999999998,-83.093749000000003,R,MI105,Highland Park Housing Commission,21,8/5/2019 0:00:00,724890,0.089671026215800
1369,659057,AR172000001,COTTON PLANT,588 Conley Dr,Cotton Plant, ,99999,Woodruff,147,AR,5,72036,35.000155999999997,-91.258218999999997,R,AR172,Housing Authority of the City of Cotton Plant,52,8/6/2019 0:00:00,802,0.250714118679000
1370,659022,NY005010300,KING TOWERS,1370 5th Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10026,40.799002999999999,-73.947916000000006,R,NY005,New York City Housing Authority,52,9/9/2019 0:00:00,704220,0.004341213180110
1371,659021,NY005010030,HARLEM RIVER,1945 Amsterdam Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10032,40.832447999999999,-73.942093999999997,R,NY005,New York City Housing Authority,37,7/29/2019 0:00:00,704218,0.003829940333410
1372,659020,NY005000230,WALD,30 Avenue D,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10009,40.720892999999997,-73.977824999999996,R,NY005,New York City Housing Authority,10,7/29/2019 0:00:00,704224,0.001607612452970
1373,659019,NY005000560,BREUKELEN,757 E 103rd St,Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Kings,47,NY,36,11236,40.648708999999997,-73.898267000000004,R,NY005,New York City Housing Authority,34,7/22/2019 0:00:00,703811,0.006884881250480
1374,659018,NY005010600,BARUCH,72 Columbia St Apt,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10002,40.716985999999999,-73.980255000000000,4,NY005,New York City Housing Authority,16,9/9/2019 0:00:00,704224,0.001736529762850
1375,659017,NY005000050,QUEENSBRIDGE,4109 12th St,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11101,40.755001999999998,-73.943575999999993,R,NY005,New York City Housing Authority,10,9/9/2019 0:00:00,704211,0.005445445869310
1376,659016,NY005013590,LOWER EAST SIDE III,154 W 84th St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10024,40.785578000000001,-73.974553999999998,R,NY005,New York City Housing Authority,43,7/29/2019 0:00:00,704179,0.008718805756730
1377,659015,NY005011670,WILLIAM REID APTS,728 E New York Ave,Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Kings,47,NY,36,11203,40.662151000000001,-73.938635000000005,R,NY005,New York City Housing Authority,3,9/16/2019 0:00:00,704228,0.037115094591700
1378,659014,NY005010970,SEN. ROBERT A. TAFT,1365 5th Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10029,40.798684999999999,-73.947655999999995,R,NY005,New York City Housing Authority,23,8/12/2019 0:00:00,704220,0.003984129711610
1379,659013,NY005000870,GENERAL GRANT,3170 Broadway,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10027,40.814883000000002,-73.958495999999997,R,NY005,New York City Housing Authority,9,9/9/2019 0:00:00,704179,0.004140516090700
1380,659012,NY005010220,AMSTERDAM,530 W 55th St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10019,40.768196000000003,-73.990853000000001,R,NY005,New York City Housing Authority,26,8/26/2019 0:00:00,704179,0.004031666729110
1381,659011,NY005012410,U.P.A.C.A. URA (SITE 5),110 E 129th St Apt,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10035,40.807093999999999,-73.936020999999997,4,NY005,New York City Housing Authority,15,8/19/2019 0:00:00,704175,0.001291009788310
1382,659010,NY005000380,ST NICHOLAS,230 W 129th St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10027,40.812151999999998,-73.947542999999996,R,NY005,New York City Housing Authority,69,9/9/2019 0:00:00,704175,0.011729383029200
1383,659009,NY005010060,VLADECK,622 Water St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10002,40.711488000000003,-73.983654000000001,R,NY005,New York City Housing Authority,51,8/26/2019 0:00:00,704224,0.000562789327961
1384,659008,NY005001490,POLO GROUNDS TOWERS,2931 8th Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10039,40.830669999999998,-73.936476999999996,R,NY005,New York City Housing Authority,45,7/30/2019 0:00:00,704218,0.000000000000000
1385,659007,NY005000270,GOVERNOR SMITH,20 Catherine St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10038,40.713056999999999,-73.997416999999999,R,NY005,New York City Housing Authority,23,8/5/2019 0:00:00,704224,0.001756603809280
1386,659006,NY005021140,STAPLETON,27 Warren St,Staten Island,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Richmond,85,NY,36,10304,40.622045000000000,-74.082327000000006,R,NY005,New York City Housing Authority,36,8/20/2019 0:00:00,704198,0.007110350459770
1387,659005,NY005010130,WEST BRIGHTON I & II,820 Henderson Ave,Staten Island,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Richmond,85,NY,36,10310,40.636481000000003,-74.119885999999994,R,NY005,New York City Housing Authority,50,8/5/2019 0:00:00,703938,0.003661157681960
1388,659002,NY005000770,MARINERS HARBOR,20 Roxbury St,Staten Island,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Richmond,85,NY,36,10303,40.633355000000002,-74.162370999999993,R,NY005,New York City Housing Authority,41,8/5/2019 0:00:00,703938,0.004941090383000
1389,659001,NY005010670,JUSTICE SONIA SOTOMAYOR HOUSES,2125 Glebe Ave,Bronx,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Bronx,5,NY,36,10462,40.835054999999997,-73.850566000000001,R,NY005,New York City Housing Authority,47,9/9/2019 0:00:00,704090,0.008208924204650
1390,658999,NY005000330,WOODSIDE,5030 Broadway,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11377,40.754536000000002,-73.909974000000005,R,NY005,New York City Housing Authority,40,8/26/2019 0:00:00,704211,0.024100531621800
1391,658998,NY005011270,"W.S.U.R. SITES A, B & C",201 W 93rd St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10025,40.792453000000002,-73.972102000000007,R,NY005,New York City Housing Authority,5,8/26/2019 0:00:00,704179,0.006544698690150
1392,658997,NY005012920,LOWER EAST SIDE II,251 E 3rd St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10009,40.722093999999998,-73.981127999999998,R,NY005,New York City Housing Authority,35,8/19/2019 0:00:00,704224,0.003399994796330
1393,658996,NY005020990,RUTGERS,160 Madison St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10002,40.712387999999997,-73.991127000000006,R,NY005,New York City Housing Authority,71,8/19/2019 0:00:00,704224,0.001798304093030
1394,658995,NY005013170,TAFT REHAB 201-203 W. 117,203 W 117th St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10026,40.804532999999999,-73.953096000000002,R,NY005,New York City Housing Authority,48,8/26/2019 0:00:00,704220,0.011483001618400
1395,658994,NY005023770,FREDERICK SAMUEL (CITY),2441 A C Powell Blvd,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10030,40.819871999999997,-73.940218000000002,4,NY005,New York City Housing Authority,4,8/12/2019 0:00:00,704175,0.003725539524220
1396,658993,NY005010080,SOUTH JAMAICA II,10616 159th St,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11433,40.696069999999999,-73.794838999999996,R,NY005,New York City Housing Authority,47,7/22/2019 0:00:00,703797,0.038950396456600
1397,658992,NY005000580,CARVER,65 E 99th St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10029,40.788944999999998,-73.951730999999995,R,NY005,New York City Housing Authority,50,9/9/2019 0:00:00,704220,0.004803195218080
1398,658991,NY005010820,FREDERICK DOUGLASS & ADD.,870 Columbus Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10025,40.797412999999999,-73.964444000000000,R,NY005,New York City Housing Authority,9,8/12/2019 0:00:00,704179,0.010052653266100
1399,658990,NY005010630,THROGGS NECK,560 Balcom Ave,Bronx,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Bronx,5,NY,36,10465,40.821908000000001,-73.826541000000006,R,NY005,New York City Housing Authority,15,7/22/2019 0:00:00,703854,0.004463081734780
1400,658989,NY005010310,ALBANY I & II,1191 Park Pl,Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Kings,47,NY,36,11213,40.672924000000002,-73.938018999999997,R,NY005,New York City Housing Authority,31,8/5/2019 0:00:00,704224,0.033366541841300
1401,658988,NY005011000,SAMUEL GOMPERS,100 Pitt St,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10002,40.718902000000000,-73.981961999999996,R,NY005,New York City Housing Authority,28,9/16/2019 0:00:00,704224,0.003788371707530
1402,658987,NY005010760,LA GUARDIA,286 South St,Manhattan,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10002,40.710664000000001,-73.986613000000006,R,NY005,New York City Housing Authority,51,9/9/2019 0:00:00,704224,0.000000000000000
1403,658986,NY005005050,QUEENSBRIDGE,4009 12th St Apt,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11101,40.755429999999997,-73.943406999999993,4,NY005,New York City Housing Authority,21,9/16/2019 0:00:00,704211,0.005361048469940
1404,658985,NY005000260,ASTORIA,320 27th Ave,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11102,40.774697000000003,-73.933901000000006,R,NY005,New York City Housing Authority,70,9/16/2019 0:00:00,704211,0.000758398840070
1405,658984,NY005012090,FHA REPOSSESSED HOUSES V,305 Atkins Ave,Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Kings,47,NY,36,11208,40.671456999999997,-73.878018999999995,R,NY005,New York City Housing Authority,22,9/23/2019 0:00:00,703863,0.016787729390000
1406,658983,NY005000530,POMONOK,7040 Parsons Blvd,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11365,40.731057999999997,-73.811132000000001,R,NY005,New York City Housing Authority,67,7/29/2019 0:00:00,704214,0.018279185337700
1407,658982,NY005011170,RICHMOND TERRACE,145 Cassidy Pl,Staten Island,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Richmond,85,NY,36,10301,40.642004000000000,-74.097172000000000,R,NY005,New York City Housing Authority,14,7/29/2019 0:00:00,704017,0.003328646684290
1408,658981,NY005020810,MANHATTANVILLE,1470 Amsterdam Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10027,40.817385999999999,-73.953592999999998,R,NY005,New York City Housing Authority,14,8/5/2019 0:00:00,704179,0.005667802281070
1409,658980,NY005010980,OCEAN BAY (BAYSIDE),306 Beach 56th St,Queens,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Queens,81,NY,36,11692,40.592737999999997,-73.785837000000001,R,NY005,New York City Housing Authority,49,8/5/2019 0:00:00,704207,0.000000000000000
1410,658979,NY005000410,DYCKMAN,3716 10th Ave,New York,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,New York,61,NY,36,10034,40.859780999999998,-73.922604000000007,R,NY005,New York City Housing Authority,26,7/22/2019 0:00:00,704218,0.000606913085397
1411,658978,NY005020830,MARLBORO,29 Avenue W,Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,Kings,47,NY,36,11223,40.591453999999999,-73.983039000000005,R,NY005,New York City Housing Authority,27,9/16/2019 0:00:00,704185,0.004868417857090
