"","TRACTFIPS","RISK_RATNG","SOVI_RATNG","RESL_RATNG","CFLD_RISKR","HWAV_RISKR","HRCN_RISKR","RFLD_RISKR","WFIR_RISKR"
"18642","21085950500","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively Low","Very Low"
"18643","12105011731","Relatively High","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18644","21193970700","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively Moderate","Relatively Moderate"
"18645","12105011836","Relatively Moderate","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18646","21199930800","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively High","Very Low","Relatively Moderate","Relatively Low"
"18647","12105011901","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18648","12105011204","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Low"
"18649","12105011501","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18650","12105011604","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18651","12105011606","Very Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively High"
"18652","12105011821","Relatively Moderate","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Very Low","Relatively Low"
"18653","12105011833","Relatively Moderate","Very Low","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18654","12099006911","Relatively Moderate","Relatively High","Relatively Low","Very Low","No Rating","Relatively High","Relatively Moderate","No Rating"
"18655","12099006912","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","No Rating"
"18656","12099007007","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","Relatively Low"
"18657","12099007008","Relatively Low","Very Low","Relatively Low","Very Low","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18658","12099007010","Relatively Moderate","Very High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18659","12099005918","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","No Rating"
"18660","12099005921","Relatively Moderate","Relatively Low","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18661","12099005937","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","Relatively Low"
"18662","12099005940","Relatively High","Very High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18663","12099005944","Relatively High","Very High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18664","12099005949","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","No Rating"
"18665","12105011913","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Low"
"18666","12105012001","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18667","22103040803","Relatively Low","Relatively Low","Very High","Relatively Low","Relatively Moderate","Very High","No Rating","Relatively Moderate"
"18668","12105012003","Relatively Low","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18669","12105012111","Relatively Low","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Moderate","Relatively High"
"18670","12105012127","Relatively Moderate","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18671","12105012203","Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Low"
"18672","12105011908","Relatively Moderate","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18673","12105011902","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18674","12105011911","Very Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18675","12105012113","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18676","12105012124","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18677","12099007203","Relatively Moderate","Relatively Low","Relatively Low","Relatively Low","No Rating","Relatively High","Relatively Moderate","No Rating"
"18678","12099007410","Relatively Moderate","Relatively Low","Relatively Low","Relatively Moderate","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18679","12099007414","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18680","12099007418","Relatively Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18681","12099007610","Relatively Moderate","Relatively Low","Relatively Low","Very Low","No Rating","Relatively High","Relatively Low","No Rating"
"18682","12099007614","Relatively High","Relatively High","Relatively Low","Very Low","No Rating","Relatively High","Relatively High","No Rating"
"18683","12099007616","Relatively High","Very High","Relatively Low","Relatively Low","No Rating","Relatively High","Relatively High","No Rating"
"18684","12099005953","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","Relatively Low"
"18685","12099006006","Relatively Moderate","Relatively High","Relatively Low","Very Low","No Rating","Relatively High","No Rating","No Rating"
"18686","12099006007","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Moderate","No Rating"
"18687","12099006201","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18688","12099006402","Relatively High","Relatively High","Relatively Low","Relatively Moderate","No Rating","Relatively High","Relatively High","No Rating"
"18689","12099006700","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively Moderate","Very Low","No Rating"
"18690","12105015702","Very Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively High"
"18691","12099006801","Relatively Moderate","Relatively Moderate","Relatively Low","Very Low","No Rating","Relatively Moderate","Very Low","No Rating"
"18692","12105012205","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","No Rating"
"18693","12105012309","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18694","12105012506","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18695","12105012602","Relatively Moderate","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18696","12105012804","Relatively Moderate","Very High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18697","12105013400","Relatively High","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","No Rating"
"18698","12105013901","Relatively High","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Very Low","No Rating"
"18699","12099007713","Very Low","Very Low","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18700","12105012206","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Very Low"
"18701","12105015200","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18702","12105012303","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18703","28043950300","Relatively Moderate","Relatively High","Relatively Moderate","Not Applicable","Relatively Moderate","Relatively High","Relatively Moderate","No Rating"
"18704","28045030200","Relatively Low","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Moderate","Very High","Relatively Moderate","Relatively Moderate"
"18705","12105012304","Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18706","12105012305","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively High"
"18707","12105012307","Very Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18708","12105012405","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively High"
"18709","12099007617","Relatively Moderate","Relatively High","Relatively Low","Very Low","No Rating","Relatively High","Relatively High","Very Low"
"18710","12099007721","Very Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18711","12099007743","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","Relatively Low"
"18712","12099007744","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","Relatively Moderate"
"18713","12099006802","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","No Rating"
"18714","12099007100","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Relatively Moderate","Relatively Low","Very Low"
"18715","12099007412","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18716","12099007416","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Relatively High","Relatively Moderate","No Rating"
"18717","12099007501","Relatively Moderate","Relatively Low","Relatively Low","Relatively Low","No Rating","Relatively High","Relatively Low","No Rating"
"18718","12099007505","Relatively Moderate","Relatively Low","Relatively Low","Relatively Low","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18719","12099007603","Relatively Moderate","Relatively Low","Relatively Low","Relatively Low","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18720","12105014103","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18721","12105014105","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively High"
"18722","12105014302","Relatively Low","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18723","12107980000","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"18724","12105012700","Relatively Moderate","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18725","12105012802","Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18726","12109020300","Relatively High","Relatively Moderate","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Very Low"
"18727","12105012406","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18728","12105012504","Relatively Low","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18729","12105013101","Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18730","12105013102","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18731","12105013902","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18732","12105014202","Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively Moderate"
"18733","12105015101","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18734","12099007746","Relatively High","Very High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","No Rating"
"18735","12099007747","Relatively High","Very High","Relatively Low","No Rating","No Rating","Relatively High","No Rating","Relatively Moderate"
"18736","12099007748","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Low"
"18737","12099007760","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18738","12099007762","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18739","12099007605","Relatively Low","Very Low","Relatively Low","Relatively Low","No Rating","Relatively Moderate","Relatively Low","Very Low"
"18740","12099007618","Relatively Moderate","Relatively Moderate","Relatively Low","Very Low","No Rating","Relatively High","Relatively Moderate","No Rating"
"18741","12099007716","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","Relatively Low"
"18742","12099007730","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Low"
"18743","21193970800","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively Moderate","Relatively Moderate"
"18744","12099007732","Relatively Moderate","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Very Low"
"18745","12105016400","Relatively High","Relatively High","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Very Low","No Rating"
"18746","12107950100","Very Low","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively High"
"18747","12109020500","Relatively High","Relatively Moderate","Relatively High","Relatively High","No Rating","Relatively High","Relatively Moderate","Relatively Moderate"
"18748","12109020705","Relatively High","Relatively Low","Relatively High","Relatively High","No Rating","Relatively High","Very Low","Relatively Low"
"18749","28085950600","Relatively Moderate","Relatively Low","Relatively Moderate","Not Applicable","Relatively Moderate","Very High","Relatively High","Relatively Low"
"18750","12109020707","Very High","Relatively Low","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively Low"
"18751","12109020801","Relatively Moderate","Relatively Low","Relatively High","Relatively Low","No Rating","Relatively High","Relatively Low","Relatively Low"
"18752","21203950300","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively High","Very Low","Relatively Moderate","Relatively Low"
"18753","12109020802","Relatively High","Relatively Low","Relatively High","Very Low","No Rating","Relatively High","Very Low","Very Low"
"18754","12109020804","Relatively Moderate","Very Low","Relatively High","Very Low","No Rating","Relatively Moderate","Very Low","Relatively Moderate"
"18755","21199931102","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively High","Very Low","Relatively Low","Relatively Low"
"18756","12105015102","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18757","12105015402","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Relatively Low","Relatively Low","Relatively High"
"18758","12107950201","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","Relatively High"
"18759","12109020200","Relatively High","Relatively High","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Moderate","Relatively Moderate"
"18760","12099007823","Very Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","No Rating","Relatively High"
"18761","12099007833","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Moderate","No Rating"
"18762","12099007735","Very Low","Very Low","Relatively Low","Very Low","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18763","12109021004","Very Low","Relatively Moderate","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18764","12099007839","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18765","12099007909","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","Relatively High"
"18766","12099007741","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Moderate","Relatively Low"
"18767","12099007749","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18768","12099007750","Relatively Moderate","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18769","12099007752","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Low"
"18770","12109020807","Very Low","Very Low","Relatively High","Relatively Low","No Rating","Relatively Moderate","Very Low","Relatively Moderate"
"18771","12109020901","Relatively Low","Relatively Low","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18772","12109020902","Relatively Low","Very Low","Relatively High","Relatively Moderate","No Rating","Very High","Relatively Moderate","Relatively High"
"18773","12109021206","Relatively Moderate","Relatively Moderate","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18774","12109021406","Relatively High","Relatively High","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Moderate","Relatively Moderate"
"18775","12111380100","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Moderate","No Rating","Very High","Relatively Low","No Rating"
"18776","21031930200","Very Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Moderate","Very Low","Relatively Moderate","Very Low"
"18777","21031930500","Very Low","Relatively High","Relatively Low","Not Applicable","Relatively Moderate","Very Low","Relatively High","Very Low"
"18778","12099008002","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Relatively Moderate","Relatively High","Relatively Low"
"18779","12099980400","Insufficient Data","Data Unavailable","Relatively Low","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"18780","12101030101","Very Low","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","Relatively Moderate"
"18781","12101030700","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively Low","No Rating"
"18782","12109020708","Very Low","Very Low","Relatively High","Relatively Moderate","No Rating","Relatively Moderate","Relatively Low","Relatively Moderate"
"18783","12109020805","Relatively Moderate","Very Low","Relatively High","Relatively Low","No Rating","Relatively High","Relatively Low","Relatively Low"
"18784","12109020710","Relatively Moderate","Very Low","Relatively High","Relatively Low","No Rating","Relatively Moderate","Relatively Low","Very Low"
"18785","12109020711","Relatively High","Relatively Low","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively Low"
"18786","12109021002","Relatively High","Relatively High","Relatively High","Relatively Low","No Rating","Relatively High","Very Low","Relatively Low"
"18787","12099007763","Relatively Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","No Rating"
"18788","12099007764","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","Relatively Low"
"18789","12099007765","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Low"
"18790","28095950300","Relatively Moderate","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively High","Very Low","Relatively Moderate","Very Low"
"18791","28097950200","Very Low","Relatively Low","Relatively Moderate","Not Applicable","Relatively Moderate","Relatively Moderate","Relatively Low","Very Low"
"18792","12099007809","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Moderate","Relatively Moderate"
"18793","12099007822","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Relatively High","No Rating","Very High"
"18794","12111380700","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Very High","Relatively High","Relatively Moderate"
"18795","12111380902","Relatively Moderate","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Very High","Relatively Low","Relatively Low"
"18796","12111382002","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Very High","Relatively Low","Relatively Moderate"
"18797","12111382007","Relatively Moderate","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Very High","No Rating","No Rating"
"18798","12111382110","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","No Rating","Very High","No Rating","Relatively Low"
"18799","12111980000","Insufficient Data","Data Unavailable","Relatively Moderate","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"18800","12113010300","Very Low","Relatively Low","Relatively Moderate","Very Low","Relatively Moderate","Very High","Relatively Low","Relatively Moderate"
"18801","21085950600","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively Moderate","Very Low"
"18802","12113010702","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively High","Relatively Moderate","Very High","Relatively High","Relatively High"
"18803","12113010704","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Moderate","Very High","Relatively Low","Relatively Moderate"
"18804","12113010705","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively High","Relatively Low","Relatively Low"
"18805","12101031005","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","No Rating"
"18806","12101031006","Relatively Moderate","Relatively High","Relatively Moderate","Relatively Low","No Rating","Very Low","No Rating","No Rating"
"18807","12101031013","Relatively Moderate","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Very Low","Relatively Moderate","No Rating"
"18808","12101031007","Relatively High","Relatively High","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively Low","No Rating"
"18809","12101031008","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","Very Low","Relatively Moderate","Relatively Low"
"18810","12101031102","Relatively High","Very High","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","Relatively Low"
"18811","12101031208","Relatively Low","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Relatively Low","Relatively Moderate","Relatively Moderate"
"18812","13133950301","Relatively Low","Relatively Low","Relatively Low","Not Applicable","Relatively Low","Very Low","Relatively Low","Very Low"
"18813","12101031506","Relatively Moderate","Relatively Low","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","No Rating"
"18814","12109021003","Relatively Moderate","Relatively Moderate","Relatively High","No Rating","No Rating","Relatively High","Relatively Low","Relatively Moderate"
"18815","12109021102","Very Low","Relatively Moderate","Relatively High","Relatively Moderate","No Rating","Relatively High","Relatively Low","Relatively High"
"18816","12109021103","Relatively Low","Relatively Low","Relatively High","Very Low","No Rating","Relatively Moderate","Very Low","Relatively Moderate"
"18817","13145120402","Very Low","Relatively Low","Relatively Moderate","Not Applicable","Relatively Low","Very Low","Relatively Moderate","Relatively Low"
"18818","13147960100","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","No Rating","Very Low","Relatively Moderate","Relatively Low"
"18819","12109021302","Relatively High","Relatively Moderate","Relatively High","Relatively Low","No Rating","Relatively High","Relatively Low","Relatively Low"
"18820","12111380300","Relatively High","Relatively High","Relatively Moderate","Very Low","No Rating","Very High","Relatively Moderate","No Rating"
"18821","13031110100","Very Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively High","Relatively Low","Relatively Low","Relatively Low"
"18822","12111380901","Relatively Moderate","Relatively High","Relatively Moderate","Relatively Low","No Rating","Relatively High","Relatively Low","No Rating"
"18823","12111381300","Relatively Low","Relatively High","Relatively Moderate","Relatively High","No Rating","Very High","Very High","Very Low"
"18824","12099007832","Relatively Moderate","Relatively High","Relatively Low","No Rating","No Rating","Relatively High","Relatively Moderate","No Rating"
"18825","12099007834","Relatively Low","Relatively High","Relatively Low","No Rating","No Rating","Relatively Moderate","Very Low","Relatively High"
"18826","12099007835","Relatively Low","Very Low","Relatively Low","No Rating","No Rating","Relatively Moderate","Relatively Low","Relatively High"
"18827","13179010102","Very Low","Very Low","Relatively High","Very Low","No Rating","Very Low","Very Low","Very Low"
"18828","13179010208","Relatively Moderate","Relatively Low","Relatively High","Very Low","No Rating","Very Low","Very Low","Relatively Low"
"18829","12099007837","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Relatively High","Relatively High","Relatively High"
"18830","12099007838","Relatively Moderate","Relatively Low","Relatively Low","No Rating","No Rating","Relatively High","Relatively Moderate","Relatively Low"
"18831","12113010815","Relatively Low","Relatively Low","Relatively Moderate","Relatively Moderate","Relatively Moderate","Very High","Relatively Moderate","Relatively Moderate"
"18832","13087970800","Very Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Relatively Moderate"
"18833","12113010900","Very Low","Very Low","Relatively Moderate","Relatively Moderate","Relatively Low","Very High","Relatively Moderate","Relatively Low"
"18834","13297110602","Very Low","Relatively Low","Relatively Moderate","Not Applicable","Relatively Low","Very Low","Relatively Low","Relatively Low"
"18835","12115000200","Relatively High","Relatively High","Relatively Low","Relatively Moderate","No Rating","Relatively High","Relatively Moderate","No Rating"
"18836","12115000401","Relatively High","Relatively Moderate","Relatively Low","Very Low","No Rating","Relatively Moderate","Relatively Low","Very Low"
"18837","12115000602","Relatively High","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Relatively High","Relatively Low","No Rating"
"18838","12115000700","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively High","No Rating","Relatively High","Relatively High","No Rating"
"18839","13199970600","Very Low","Relatively High","Relatively Low","Not Applicable","No Rating","Very Low","Relatively Moderate","Relatively Low"
"18840","13201950300","Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Low","Relatively Low","Relatively Moderate","Relatively Low"
"18841","12101031507","Relatively Low","Relatively Low","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","Relatively Low"
"18842","12101031602","Relatively Low","Relatively Low","Relatively Moderate","Very Low","No Rating","Relatively Low","Relatively High","Relatively Moderate"
"18843","12101031603","Relatively Low","Very Low","Relatively Moderate","No Rating","No Rating","Relatively Low","Relatively Moderate","Relatively Moderate"
"18844","12101031703","Very Low","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Very Low","Relatively Moderate","Relatively Moderate"
"18845","13051004209","Relatively Low","Relatively Moderate","Relatively High","Relatively Low","Relatively Moderate","Very Low","Very Low","Relatively Moderate"
"18846","12101031706","Relatively Low","Relatively Low","Relatively Moderate","Very Low","No Rating","Relatively Low","Relatively High","Relatively Low"
"18847","13117130403","Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Very Low","Relatively Low","Very Low"
"18848","13117130503","Very Low","Relatively Low","Relatively Moderate","Not Applicable","No Rating","Very Low","Relatively Low","Very Low"
"18849","12101031708","Relatively Moderate","Relatively High","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively High","No Rating"
"18850","12133970102","Very Low","Relatively Moderate","Relatively Low","No Rating","Relatively Low","Relatively Moderate","Relatively High","Relatively Low"
"18851","12101031808","Very Low","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Very Low","Relatively Low","Relatively Moderate"
"18852","12101031809","Very Low","Relatively Moderate","Relatively Moderate","Very Low","No Rating","Very Low","Relatively Moderate","Relatively Moderate"
"18853","13249960100","Very Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Low","Very Low","Relatively Low","Relatively Low"
"18854","12101031902","Very Low","Very Low","Relatively Moderate","No Rating","No Rating","Relatively Low","Relatively High","Relatively High"
